영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
도굴,범죄,박정배,"이제훈, 조우진, 신혜선, 임원희",20201104,https://image.tmdb.org/t/p/w500/sVOZNc9OibkzhdFLLMnoFpd1GVu.jpg,"흙 맛만 봐도 보물을 찾아내는 타고난 천재 도굴꾼 강동구. 자칭 한국의 인디아나 존스로 불리는 고분벽화 도굴 전문가 존스 박사와 전설의 삽질 달인 삽다리를 만나 환상의 팀플레이를 자랑하며 위험천만하고도 짜릿한 도굴의 판을 키운다. 한편, 그의 재능을 알아본 고미술계 엘리트 큐레이터 윤실장은 강동구에게 매력적이면서도 위험한 거래를 제안하는데..."
뱅가드,액션,당계례,"성룡, 양양",20201230,https://image.tmdb.org/t/p/w500/9epfyKS1rRdD4Hk8wFFU40Wucgr.jpg,"탕환팅이 이끄는 국제 민간 경호업체 뱅가드. 새해 축제가 한창인 런던 한복판에서 VIP 고객이 범죄 조직에 납치되고 뱅가드는 그를 구출하는 데 성공한다. 이에 분노한 범죄 조직은 VIP 고객의 딸을 새로운 타깃으로 삼고, 그들보다 먼저 아프리카에 있는 그녀를 찾아 보호하는 과정에서 뱅가드의 팀원 레이전위가 위험에 처한다. 두바이로 넘어가 구출 작전을 펼치던 뱅가드는 거대한 배후 세력의 음모와 마주하게 되는데…"
걸,드라마,루카스 돈트,,20210107,https://image.tmdb.org/t/p/w500/fjEVlKcevlj0QA6ajF8cKPlFG1r.jpg,청소년 국가대표를 거쳐 명문구단의 수문장까지 꿰차며 승승장구 하던 천재 골키퍼 차기성. 급성신부전증으로 신장이식수술을 받은 후 재기를 선보이는 자리에서 또 다시 쓰러진다. 이제 그의 축구인생은 끝이다. 완전히 디엔드!
800,"전쟁, 액션",관후,강무,20201210,https://image.tmdb.org/t/p/w500/xowEiBaVv0Z7Zn0DdakEWb7LZsE.jpg,"제 2차 세계대전 중일전쟁 초기, 거듭된 패배로 많은 사상자를 내며 중국군이 퇴각하던 중, 제 524연대는 2만 명의 일본군으로부터 상하이를 지켜내라는 명령을 받는다. 외국인들과 부유한 중국인들이 모여 사는 조계지역 맞은편, 허름한 사행창고에 배치된 제 524연대는 우세한 전력으로 공격하는 일본군에 포기하지 않고 자폭까지 감행하며 나흘 밤낮 격전을 펼친다. 하천 너머 남의 일인 듯 구경하던 부유한 중국인과 외국인들도 이들의 투지에 감명받아 뜨겁게 응원하기 시작한다. 한편 쉽게 함락할 수 있을 줄 알았던 상하이에서 발목이 잡혀 초조해진 일본은 조계지역에 타격을 주더라도 격전지를 폭파할 계획을 세우고… 마침내 제 524연대 병사들은 창고를 나와 일본군의 무차별 총격을 피해 쑤저우 하천을 가로질러 조계지역으로 탈출해야 하는데…"
빅풋 주니어2: 패밀리가 떴다,애니메이션,"벤 스타센, 제레미 드그루손",,20210106,https://image.tmdb.org/t/p/w500/g2L9oyt1JkX5QLIiq9ZEmlDENjy.jpg,"아주 멀리서도 잘 듣고, 어디든지 빠르게 달려가고, 남다른 힘과 치유 능력까지! 모두가 주목하는 초능력 슈퍼 히어로 ‘빅풋’에게 알래스카에서 한 통의 편지가 도착한다. “지구를 위험에 빠뜨린 악당에게서 자연과 동물 친구들을 지켜주세요!” 지구를 지키기 위해 ‘빅풋’과 빅풋 패밀리가 떴다! 걱정 마세요, 지금 달려갑니다! 슈퍼 히어로 빅풋 패밀리, 출동 준비 완료!"
이웃사촌,"드라마, 코미디",이환경,"정우, 오달수, 김희원, 김병철, 조현철, 이유비, 지승현, 김선경, 염혜란, 정희태, 김세동, 정현준, 김동규, 김기천, 황병국, 박철민, 심이영, 김우진, 정찬우, 유정호, 한승주, 민경옥, 임병수, 강승완, 이동영, 황윤성, 이태윤, 조정원, 고봉구, 정완희, 박준혁, 김민규, 권일헌, 성규찬, 강정임, 정지훈, 문태유, 하지안, 김혜정, 이동용, 김봉성, 오누리, 이승훈, 강충훈, 김주연, 전우재, 박지홍, 나종민, 심성효, 홍현종, 유재상, 김형구, 김성락, 어주선, 현정애, 강경자, 이도은, 임용순, 엄태옥, 김호준, 정재헌, 정영섭, 이동훈, 이은주, 홍대의, 고안홍, 김성준, 유대환, 황영철, 강대일, 임대건, 장세용, 박석준, 최대희, 백수현, 송태완, 김경섭, 서가빈, 이유환, 정윤선, 김진구, 조남현, 채장열, 이정철, 박준기, 고재운, 오성현, 송화진, 박문재, 이상은, 홍은진, 이현일, 강지혜, 이정명, 황필수, 김지호, 박전규, 김승진, 안웅기, 정한빈",20201125,https://image.tmdb.org/t/p/w500/kxpDRY5qVP2JSP98Xqi2WKPWjm3.jpg,백수가장 좌천위기 도청팀장 대권은 팀원들과 함께 해외에서 입국하자마자 자택 격리된 정치인 가족을 24시간 감시하라는 미션을 받는다. 이웃집으로 위장 이사온 도청팀원들은 라디오 사연 신청부터 한밤중에 나는 부스럭 소리까지 수상한 가족들의 모든 소리와 행동을 감시하면서 새로운 비밀들을 하나씩 발견하게 되는데…
런,"미스터리, 스릴러",아니쉬 차간티,"사라 폴슨, 팻 힐리, 키에라 앨런",20201120,https://image.tmdb.org/t/p/w500/1pBaSwsh9Qcs7x1HQS6kmd1KsRD.jpg,"촉망받는 달리기 선수였던 ‘도원’은 불의의 사고로 부상을 당한 후 도망치듯 전학을 온 학교에서 어릴 적 함께 달리던 단짝 ‘진수’를 만난다. 재회의 반가움도 잠시, 순수했던 과거와 다른 모습의 ‘진수’와 함께 하던 ‘도원’은 예상치 못한 사건에 휩쓸리게 되는데…"
미드나이트 스카이,"드라마, 판타지, SF",조지 클루니,"조지 클루니, 펠리시티 존스, 데이빗 오예로워, 카일 챈들러, 데미안 비쉬어",20201209,https://image.tmdb.org/t/p/w500/xU96eiYX9FQvh5jfUBHKex5Wail.jpg,"종말을 맞이한 지구, 북극에는 외로운 과학자 오거스틴이 살아있다. 오거스틴은 탐사를 마치고 귀환하던 중 지구와 연락이 끊긴 우주 비행사 설리가 짧은 교신에 성공한다. 그는 설리와 그녀의 동료 우주 비행사들이 원인 불명의 재앙을 맞은 지구로 귀환하는 것을 막고자 분투하는데..."
인터스텔라,SF,크리스토퍼 놀란,"매튜 매커너히, 앤 해서웨이, 마이클 케인, 제시카 차스테인, 케이시 애플렉",20141106,https://image.tmdb.org/t/p/w500/evoEi8SBSvIIEveM3V6nCJ6vKj8.jpg,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데..."
덩케르크,"액션, 드라마, 스릴러, 전쟁",크리스토퍼 놀란,"톰 하디, 마크 라이런스, 케네스 브래너, 킬리언 머피, 제임스 다시, 케빈 구스리",20170720,https://image.tmdb.org/t/p/w500/nLQpUxLulXpIvN7FwREWjRNRBRI.jpg,"제2차 세계대전 당시인 1940년, 프랑스 덩케르크 지역에서 진행된 연합군 구출 작전. 영화는 세개의 시공간을 동시에 진행시킨다. 도버 해협을 건너려는 영국군을 중심으로 한 잔교에서의 일주일, 민간 선박들의 자발적 참전과 차출이 이어지는 바다에서의 하루, 적기를 겨냥한 스피트파이어기 전투사가 있는 하늘에서의 한 시간. 전쟁의 전방위성, 공포의 상시성과 그 압도, 개별 공간을 떠난 공포의 유사성, 그 속의 다급함이 혼재되어 있는 가운데 전쟁과 죽음에의 공포와 생존을 향한 인간적 열망을 그린다."
파티마의 기적,드라마,마르코 폰테코르보,"하비 케이틀, 스테파니 길, 고란 비스닉, 조아큄 드 알메이다, 조아나리베이로, 소냐 브라가",20201203,https://image.tmdb.org/t/p/w500/1GtwuxXyjEf37tC5dLDLDRUgIfw.jpg,"1917년, 제1차 세계대전이 한창이던 어느 날 포르투갈의 작은 마을 파티마에 한 줄기 빛이 비춘다. 10살 소녀 루치아와 그녀의 어린 사촌동생들은 그 빛 가운데 믿기 힘든 놀라운 광경을 목격한다.  “누구세요? 어디서 오셨어요?”  “천국에서 왔단다” “저희에게 오신 이유가 뭔가요?”  그들의 물음에, 그녀는 매달 13일 자신을 찾아오라 이야기하고 매일 빠짐없이 기도를 할 것을 당부하는데… 파티마 성모 발현 103주년 기념 작품. 믿음에 관한 가장 강력하고 위대한 감동 실화가 찾아온다!"
더 프롬,"코미디, 뮤지컬",라이언 머피,"메릴 스트립, 제임스 코든, 니콜 키드먼, 앤드류 라넬스, 아리아나 데보스",20201202,https://image.tmdb.org/t/p/w500/vbhEMCoj6LrJ26ya6NbNtCgmpL8.jpg,"뉴욕의 스타 디디 앨런과 배리 글리크먼에게 심각한 위기가 닥친다. 엄청난 제작비를 쏟은 브로드웨이 공연이 망하면서 경력이 박살 난 것이다. 한편, 인디애나주 작은 마을에선 고등학생 에마 놀런이 전혀 다른 이유로 슬픔에 빠져있다. 교장이 지지해 주는데도 불구하고, 학부모회장이 에마와 그녀의 여자 친구 얼리사가 무도회에 참석하지 못하도록 했기 때문이다. 에마의 고난을 이용하면 이미지를 회복할 수도 있겠다고 판단한 디디와 배리. 역시 재기를 노리는 냉소적인 배우 한 쌍, 앤지와 트렌트의 손을 잡고, 그들은 인디애나로 떠나는데..."
잔칫날,"드라마, 가족",김록경,"하준, 소주연, 이지현, 오치운, 이정은, 정인기, 김자영, 안민영, 박경근, 김기남, 배제기, 박승규, 박채원, 엄윤선, 유하리, 허웅, 황재열, 김진모, 남지혜, 박건규, 임호준, 강성호, 오현수, 신철용, 문선용, 송지호, 양귀례, 추미희, 김종인, 구민혁, 유성재, 추은경, 목규리, 양현성, 김자홍, 김현주, 박정민, 최태이, 성하경, 홍상우, 박수연, 박봉주, 이진하, 박유진, 천신남, 문병권, 김규빈, 정창근, 김혜숙, 김군미, 김민정, 박보현, 이인숙, 이혜진, 홍태규, 김록경, 손다영, 임수빈, 조민성, 최효은, 박진용",20201202,https://image.tmdb.org/t/p/w500/uA07OIU99drJrmO5iWMoUaCuTEu.jpg,"경만은 병원에 오랫동안 입원해 있는 아버지를 여동생 경미와 함께 간호하며 각종 행사 일을 하는 무명 MC 이다. 어느 날 갑자기 아버지가 돌아가셨다는 연락을 받고 달려간 장례식장. 슬퍼할 겨를도 없이 장례비용에 대한 걱정을 하며 사람들에게 연락을 하지만 생각처럼 돈이 마련되지 않는다. 그러던 중 행사 일을 함께 하는 선배로부터 행사 대타 제안의 전화를 받게 되고, 돈이 필요했던 경만은 적지 않은 액수를 듣고 수락한다. 장례 둘째 날, 경미에게 금방 나갔다 오겠다며 장례식장을 맡기고 삼천포 궁지마을 삼복 할머니 댁으로 향한다. 팔순 잔치를 진행하던 중에 삼복 할머니가 병원으로 실려 가게 되자 잔칫집은 아수라장이 된다. 할머니가 쓰러진 이유가 경만 때문이라는 마을의 실세인 청년회장과 부녀회장의 오해를 받게 되면서 잔칫집을 떠날 수 없는 상황에 닥친 경만. 경만은 아버지의 장례를 치를 수 있을까..."
프리키 데스데이,"코미디, 공포(호러)",크리스토퍼 랜던,"빈스 본, 캐서린 뉴튼",20201125,https://image.tmdb.org/t/p/w500/1qy7rSE4rF8ERdl6quTLrbCX9Sl.jpg,"평범 이하, 존재감 제로 고등학생 밀리가 우연히 중년의 싸이코 살인마와 몸이 바뀌게 되면서 벌어지는 예측불가 호러테이닝 영화"
삼진그룹 영어토익반,드라마,이종필,"고아성, 이솜, 박혜수, 백현진, 조현철, 김종수, 김원해, 배해선, 데이비드 맥기니스, 이성욱, 김효은, 김예지, 김희상, 김희상, 한재이, 이주미, 임종훈, 함채영",20201021,https://image.tmdb.org/t/p/w500/axdXIoZkjTDhdsE08Z2xIb9eWjp.jpg,"1995년, 토익 600점만 넘기면 대리가 될 수 있다는 이야기에 입사 8년차 동기인 말단 여직원들이 삼진그룹 영어토익반에 모인다. 실무 능력 퍼펙트, 현실은 커피 타기 달인인 생산관리3부 오지랖 이자영. 추리소설 마니아로 뼈 때리는 멘트의 달인 마케팅부 돌직구 정유나. 수학 올림피아드 우승 출신, 실체는 가짜 영수증 메꾸기 달인 회계부 수학왕 심보람은 대리가 되면 진짜 ‘일’을 할 수 있을 것이라는 희망에 부푼다. 잔심부름을 하러 간 공장에서 검은 폐수가 유출되는 것을 목격한 자영은 유나, 보람과 함께 회사가 무엇을 감추고자 하는지, 결정적 증거를 찾으려 한다. 불가능해 보이는 싸움, 세 친구는 해고의 위험을 무릅쓰고 고군분투를 시작하는데…"
담보,드라마,강대규,"성동일, 하지원, 김희원, 박소이, 김재화, 홍승희, 유태오, 유성주, 정인기, 진유영, 이재용, 박현숙, 유순웅, 차청화, 장명갑, 서민주, 나문희, 김윤진, 김해용, 김병철, 윤종구, 이상화, 이도엽, 이필라, 한복희, 박시완, 박경환, 임세현, 노은하, 신나리, 서성광, 문성환, 이상협, 박은영, 김서현, 윤태웅, 이샘, 강재은, 강민지, 신동훈, 김양성, 송율희, 권현희, 이태형, 이은주, 문성복, 이문빈, 신민경, 김봉성, 김다연, 천현우, 김인이, 문원주, 김봉수, 최미라, 김규도, 오세현, 정원, 유현수, 정태인, 박현수, 곡여병, 유성현, 현정애, 장호문, 한승윤, 차건, 김수현, 배서희, 양세연, 박예서, 박지민, 오정원, 박소현, 오나예, 김예원, 박지성, 정세한, 하지원, 정주용, 김가령, 최수아, 양예슬, 권채민, 서수빈, 이정봉, 송혜령, 김민지, 지선, 정민경, 천윤진, 배근하, 오연지, 박재홍, 이상협, 이동진",20200929,https://image.tmdb.org/t/p/w500/b6clzuYNbizWFUtcpLBsp00zXNe.jpg,"1993년 인천, 거칠고 까칠한 사채업자 두석과 종배는 떼인 돈 받으러 갔다가 얼떨결에 9살 승이를 담보로 맡게 된다. 뜻도 모른 채 담보가 된 승이와 승이 엄마의 사정으로 아이의 입양까지 책임지게 된 두석과 종배. 하지만 부잣집으로 간 줄 알았던 승이가 엉뚱한 곳에 있다는 것을 알게 된 두 사람은 승이를 데려와 돌보게 된다. 예고 없이 찾아온 아이에게 인생을 담보 잡힌 두석과 종배. 빚 때문에 아저씨들에게 맡겨진 담보 승이. 두석, 종배, 승이 세 사람은 어느덧 서로에게 특별한 존재가 되는데..."
테넷,"액션, SF",크리스토퍼 놀란,"존 데이비드 워싱턴, 로버트 패틴슨, 엘리자베스 데비키, 애론 테일러 존슨, 마이클 케인, 케네스 브래너, 히메쉬 파텔, 클레멘스 포시, 유리 코로콜니코브, 앤드류 하워드, 마틴 도노반",20200826,https://image.tmdb.org/t/p/w500/i91wnVqkJf5ykDJq0XmIusvPFL3.jpg,주도자는 미국의 한 요원으로 우크라이나 국립 오페라 극장의 한 사건에 투입되었다가 우크라이나 요원들에게 붙잡히게 되고 고문을 받지만 CIA가 준 자살 약을 먹고 자살을 택하게 된다. 그러나 이내 다시 눈을 뜬 주인공은 의문의 한 남자로부터 임무를 부여받는다. 그가 주도자에게 줄 수 있는 건 하나의 제스처와 하나의 단어 뿐. 시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르를 막기 위해 투입된 작전의 주도자는 인버전에 대한 정보를 가진 닐과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다.
미스터트롯: 더 무비,공연,전수경,,20201022,https://image.tmdb.org/t/p/w500/5hrf8s3bjGOYUedUaLEGvyFZlT.jpg,"대한민국을 뒤흔든 사상 최초 트로트 서바이벌 [내일은 미스터트롯] 최고 시청률 35.7%, 전국민적인 사랑을 받은 TOP6의 탄생!  ‘내일은 미스터트롯 대국민 감사콘서트’ 서울 공연의 뜨거웠던 무대 실황과 그 너머, TOP6의 매력적인 일상이 선물처럼 찾아온다.  다시 한번 펼쳐질 그들의 찬란한 꿈, 다시 한번 위로를 건넬 우리의 빛나는 동행."
애비규환,"드라마, 코미디",최하나,"정수정, 장혜진, 최덕문, 이해영, 강말금, 남문철, 신재휘, 김미향, 김상일, 장햇살, 박새벽, 이진주, 이재훈, 박응수, 김준범, 이주원, 김영선, 김늘메, 송철호, 이창수, 신미영, 박정원, 김하솔, 정소영, 김민주, 최주영, 주공이, 장이정, 박규리, 진수빈, 지지은, 윤선지, 정이수, 박지우, 서민경, 우서연, 박소진, 강종성, 오승우, 이지환, 최호형, 조수인, 황지수, 유지아, 김정원, 정하윤, 이나경, 오예원, 방재호, 지은, 최승연, 채민수, 박재민, 구성은, 한동민, 정상빈, 안재민, 노주연, 이현우, 윤옥길, 이다연, 박숙자, 박소은, 김봄내, 김명주, 장정미, 신은경, 권희정, 김조민, 김홍무, 최준호, 김관수, 김보람, 박건태, 조준혁, 김상호, 김형구, 최민성, 김동환, 이영석, 박성순, 김주식, 박문재, 윤덕준, 조근하, 윤은지, 최고은, 이유진, 홍상유, 전현희, 최유리, 한승상, 홍이연정, 고재열, 정태겸, 신은미, 신현숙, 에스더킴, 배재복, 손옥희, 한재숙, 한채리, 최지영, 이승철, 김민석, 백경원",20201112,https://image.tmdb.org/t/p/w500/pShB3OZAaOehDkehtqSS4voU6w5.jpg,"연하 남친 호훈과의 불꽃 사랑으로 임신을 하게 된 대학생 토일. 출산 후 5개년 계획까지 준비하며 결혼을 선언했지만, 돌아온 것은 “넌 대체 누굴 닮아 그 모양이냐”는 부모님의 호통뿐이다. 누굴 닮았는지 직접 확인하겠다며 찾은 친아버지는 기대와 달리 실망스럽기만 하고, 착잡한 마음으로 집으로 돌아오자마자 예비 아빠 호훈의 행방이 묘연해진다. 어색한 현아빠, 철없는 구아빠, 집 나간 예비 아빠까지! 첩첩산중 설상가상 그야말로 ‘애비규환’이로다!"
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,"애니메이션, 액션, 판타지",스도 토모노리,"스기야마 노리아키, 시타야 노리코",20201022,https://image.tmdb.org/t/p/w500/eKPSnszx2OvEVlJSwk2Zsjc6Ir0.jpg,"마술사 '마스터'와 영령 '서번트'가 모든 소원을 이뤄주는 '성배'를 둘러싸고 싸우는 '성배전쟁'. 하지만 그 싸움은 일그러져 있었다. 마토 사쿠라는 자신이 저지른 죄와 함께 마키리의 잔으로서 각성하여 깊은 어둠 속에 빠지고 말았다. 그런 사쿠라를 지키겠다고 맹세한 소년, 에미야 시로는 토오사카 린과 함께 사쿠라를 어둠 속에서 구하고 일그러진 '성배전쟁'을 끝내기 위해 자신의 몸을 돌보지 않고 가혹한 싸움에 몸을 던진다. 소년의 소망은 소녀에게 닿을 것인가. 끝을 향해 달려가는 '성배전쟁' 최후의 싸움이 드디어 시작된다."
마틴 에덴,"드라마, 멜로/로맨스",피에트로 마르첼로,루카 마리넬리,20201029,https://image.tmdb.org/t/p/w500/VUZx8XL3q06lz15spzNWfI3GJW.jpg,"20세기 중반 이탈리아 나폴리. 주먹 하나만큼은 최고인 선박 노동자 ‘마틴 에덴’은 상류층 여자 ‘엘레나’를 만나 첫눈에 사랑에 빠진다. 오직 그녀처럼 생각하고 말하기 위해 굶주린 듯 탐독하고, 그는 들끓는 열정에 이끌려 작가가 되기로 결심한다. 두 사람이 함께 하기 위한 새로운 길을 만들기 위해 ‘마틴 에덴’은 홀로 펜 하나로 세상과 맞서기 시작하는데…"
언힌지드,"스릴러, 범죄",데릭 보트,"러셀 크로우, 카렌 피스토리우스, 가브리엘 베이트먼, 지미 심슨",20201007,https://image.tmdb.org/t/p/w500/4KEcf0Vwyk7Y1YcUtrZ3maYRn4H.jpg,"월요일 아침, 학교에 늦은 아들을 데려다 주고 출근을 해야하는 레이첼. 꽉 막힌 도로, 직진 신호가 되었는데도 앞 차가 움직일 생각을 하지 않는다. 짜증이 난 레이첼은 필요 이상으로 경적을 크게 울리고, 앞 차의 운전자는 그녀의 무례한 행동에 사과를 요구한다. 이를 무시한 채 그녀는 황급히 자리를 벗어나지만, 앞에 있던 차가 그녀를 따라오기 시작한다. 그리고 곧 레이첼은 무서운 사실을 알게 된다. 그녀로 인해 분노가 폭발한 남자가 자신뿐 아니라 친구와 가족, 그리고 아들까지 노리고 있다는 것을..."
그린랜드,"액션, 스릴러",릭 로먼 워,"제라드 버틀러, 모레나 바카린",20200929,https://image.tmdb.org/t/p/w500/wLgHczwajb3QV2JBgsqNVjuHoJC.jpg,혜성의 지구 충돌 속보를 지켜보던 존과 가족들. 미 항공우주국(NASA)의 예측과 달리 해상으로 떨어졌어야 할 파편은 캘리포니아를 비롯해 세계 대도시로 추락해 세계는 순식간에 혼돈에 빠진다. 지구의 3/4을 날려버릴 초대형 혜성 추락까지 남은 시간은 단 48시간. 존과 가족은 지구의 유일한 안전 대피소인 ‘그린란드’의 벙커로 향하는데... 인류의 마지막 카운트다운이 시작된다!
국제수사,"코미디, 액션",김봉한,"곽도원, 김대명, 김희원, 김상호, 이유진, 신승환, 신동미, 이한서, 김창옥, 강채민, 이찬유, 이규영, 김채준, 성혁, 손현주, 조재윤, 이소진, 이봉련, 이유리, 박창희, 황무영, 이홍내, 박대원, 희웅, 정영철, 여상훈, 강덕환, 정인덕, 김단아, 하은수, 이강녕, 황두하",20200929,https://image.tmdb.org/t/p/w500/7IuoL7QmVgomokCpwmgUz3VmL7w.jpg,"필리핀으로 인생 첫 해외여행을 떠난 대천경찰서 강력반 홍병수 경장. 여행의 단꿈도 잠시, 병수는 범죄 조직의 킬러 패트릭의 작전에 휘말려 살인 용의자가 되고, 누명을 벗기 위해 현지 가이드이자 고향 후배 만철과 함께 수사에 나선다. 하지만, 형사 본능이 끓어오르는 마음과는 달리 병수의 몸과 영어는 따라주지 않고, 필리핀에서 재회한 웬수 같은 죽마고우 용배가 끼어드는 바람에 수사는 자꾸 의도치 않은 방향으로 흘러가는데…"
애프터: 그 후,"멜로/로맨스, 드라마",로저 컴블,"히어로 파인즈 티핀, 조세핀 랭포드, 딜런 스프라우즈",20201007,https://image.tmdb.org/t/p/w500/d45gDeSa3eDpYo2Aj6AJ7SeHx0t.jpg,"""너만의 테사는 더 이상 없어!""  첫사랑 하딘이 자신과의 연애를 내기에 걸었다는 비밀을 알게 된 '테사'  둘은 헤어지지만 서로의 살결과 숨결을 끊지 못하며 아슬아슬한 썸을 이어간다. 이후 대학 졸업을 앞둔 취준생 테사는 대형 출판사의 인턴십에 합격하고  거친 하딘과는 180도 다른 젠틀한 직장 남사친 '트레버'를 만나게 된다. ""테사의 두 번째 남자를 만났다"" 런던으로 떠나기 전에 테사를 향한 진심을 전하고 싶었던 '하딘' 테사의 용서를 기다리며 과거의 잘못을 하나씩 고쳐나간다.  워크숍 파티에서 취한 테사의 연락에 하딘은 기대 반, 걱정 반 마음으로 결국 테사의 호텔 룸에 찾아가고, 샤워실에서 그녀석 '트레버'와 마주치는데…"
"어디갔어, 버나뎃","코미디, 드라마",리차드 링클레이터,"케이트 블란쳇, 빌리 크루덥",20201008,https://image.tmdb.org/t/p/w500/5h2TXf85X1gC7A0p74ZQyacGmbD.jpg,"최연소 맥아더상을 수상한 천재 건축가였으나 현재는 사회성 제로 문제적 이웃이 되어버린 버나뎃. 일밖에 모르는 워커홀릭 남편 엘진, 사사건건 간섭하며 동네를 주름잡는 옆집 이웃 오드리, 일거수일투족을 감시하고 남편에게 일러바치는 비서 수린까지 조용히 살고 싶은 버나뎃의 소망과는 다르게 주변은 매일 소란스러워지고 그녀의 까칠함은 폭발한다. 온라인 비서 만줄라와 함께 친구 같은 딸 비의 소원인 가족 여행을 준비하던 어느 날, 버나뎃은 자신이 국제 범죄에 휘말렸다는 사실을 알게 되고 갑작스런 FBI 조사가 시작되자 흔적도 없이 사라지는데…"
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,애니메이션,"유야마 쿠니히코, 사카키바라 모토노리","이선호, 홍시호",20200930,https://image.tmdb.org/t/p/w500/yMzKELtMGOqHE9Wotk5BlJZ03vX.jpg,"최고의 포켓몬 트레이너만을 초대하는 의문의 카드를 받게 된 지우와 친구들은 거센 폭풍우를 뚫고 포켓몬성으로 향한다. 하지만 그곳에서 그들을 기다리는 건, 인간에 대한 역습을 선언한 강력한 전설의 포켓몬 뮤츠. 뮤츠는 복제 포켓몬을 만들어 포켓몬 트레이너들에게 공격을 시작하고, 때마침 나타난 환상의 포켓몬 뮤와 함께 지우와 친구들은 운명을 건 피할 수 없는 대결을 시작하는데…"
극장판 미니특공대: 햄버거괴물의 습격,"애니메이션, 액션",이영준,"엄상현, 양정화, 이소영, 전태열, 신용우, 남도형, 양소연, 홍진욱, 성완경, 정영웅, 정영웅, 이민규, 성완경, 이민규, 남도형, 엄상현, 전태열, 신용우, 홍진욱, 성완경, 이민규, 엄상현, 김은아, 남도형, 전태열, 소연, 엄상현, 이민규, 전태열, 신용우",20200930,https://image.tmdb.org/t/p/w500/rBwu7qDO5KOtea10bJJl84YtlkL.jpg,
브레이크 더 사일런스: 더 무비,다큐멘터리,박준수,"김남준, 김석진, 민윤기, 정호석, 박지민, 김태형, 전정국",20200924,https://image.tmdb.org/t/p/w500/gLNZdWq7r8ZAyWuUxoke7qC0gy8.jpg,"대한민국 최초이자 방탄소년단의 전 세계 스타디움 투어 ‘LOVE YOURSELF: SPEAK YOURSELF’가 끝났다. 한국 가수 최초 웸블리 스타디움 단독 공연, 빌보드 월간 박스스코어 1위. 로스앤젤레스, 시카고, 뉴욕, 상파울루, 런던, 파리, 오사카, 시즈오카, 리야드, 그리고 서울까지. 뜨거웠던 스타디움 투어의 대장정을 달려온 방탄소년단 멤버들. 무대 위가 아닌 무대 뒤에서, 방탄소년단으로 인해 태어난 또 다른 나로, 7명의 멤버들은 한 번도 말하지 못한 내면의 진솔한 이야기를 들려주기 시작한다."
뉴 뮤턴트,"액션, 공포(호러), SF",조쉬 분,"메이지 윌리암스, 안야 테일러 조이, 찰리 히튼, 헨리 자가, 블루 헌트, 앨리스 브라가",20200910,https://image.tmdb.org/t/p/w500/bqZRy3tJjJIrA38FSdqJEufQ2Os.jpg,"어린 뮤턴트들을 수용하는 멀버리 병원에 가장 마지막으로 입원한 대니는 자신이 돌연변이라는 사실을 알지만, 정확히 어떤 초능력을 가졌는지는 모른다. 먼저 입원한 레인은 늑대인간으로 변하고 샘은 엄청나게 빠른 속도로 어디든 뚫고 지나간다. 일리야나는 오른팔을 검푸른 검으로 만들어 휘두를 수 있을 뿐 아니라, 위험할 땐 자신이 만들어낸 공간 림보로 재빨리 달아나는 능력까지 지녔다. 자신이 어떤 능력을 타고났는지도 모르는 대니와 달리 이들은 자신의 능력을 정확히 알고 있고 제어하는 힘까지 잘 안다. 대니는 닥터 레예스와 함께 상담을 이어가면서 능력을 통제하는 힘을 키워나가려고 한다."
