영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
극장판 진격의 거인 완결편 더 라스트 어택,애니메이션,하야시 유이치로,"카지 유우키, 이시카와 유이, 이노우에 마리나",20250313,https://image.tmdb.org/t/p/w500/nNjXyrutNl6fAAEFUvOsnC7tjgC.jpg,"거인의 위협으로부터 몸을 지키기 위해 거대한 벽을 쌓고 그 안에서 숨을 죽이고 살고 있는 인류. 백 년의 평화는 초대형 거인의 습격으로 파괴됐고, 어머니를 잃은 소년 엘런 예거는 모든 거인을 없앨 것을 맹세하고 거인과 싸우는 조사병단의 일원이 되었다. 글자 그대로 목숨을 건 싸움 속에서 엘런 예거는 자신도 거인이 되는 능력을 손에 넣었고 인류의 승리에 공헌하면서 조금씩 세계의 진실에 가까워지고 있었다. 이윽고 시간이 흘러 벽 밖으로 나간 엘런은 조사병단의 동료들과 갈라섰고 어떤 무시무시한 계획을 실행한다. 수많은 거인을 이끌고, 이 세계의 살아있는 모든 것들을 짓밟는 「땅울림」. 미카사와 아르민을 시작으로 남겨진 자들은 세계를 멸망시키려 하는 엘런을 막기 위해 최후의 싸움에 나선다."
오만과 편견,"멜로/로맨스, 드라마",조 라이트,"키이라 나이틀리, 매튜 맥퍼딘",20060324,https://image.tmdb.org/t/p/w500/rgKfvG0PgJBIPR6cNICukRnfMga.jpg,"베넷 가의 다섯 자매 중 둘째인 엘리자베스는 사랑하는 사람과의 결혼을 믿는 자존심 강하고 영리한 소녀이다. 부유하고 명망있는 가문의 신사 빙리와 그의 친구 다아시가 여름 동안 대저택에 머물게 되고, 댄스 파티에서 처음 만난 엘리자베스와 다아시는 서로에게서 눈을 떼지 못한다. 다아시는 아름답고 지적인 그녀의 매력에 점점 빠져들고, 폭우가 쏟아지는 날 비바람이 몰아치는 언덕에서 가슴 속 깊은 곳에 담아둔 뜨거운 사랑을 그녀에게 고백한다. 하지만 다아시가 빙리와 제인의 결혼을 제인이 명망있는 가문 출신이 아니라는 이유로 반대한 것을 알게 되자, 그를 오만하고 편견에 가득 찬 속물로 여기며 외면하는데..."
매드 댄스 오피스,"드라마, 코미디",조현진,"염혜란, 최성은, 우미화, 박호산, 백현진, 권태원, 아린, 안동구, 양조아, 윤상현, 허정도, 이규회",20260304,https://image.tmdb.org/t/p/w500/5tUNj2UXAwgZ9tYYPlaDzn4DjuU.jpg,"24시간 빈틈없이 살아온 구청의 갓생 과장 국희. 승진은 코앞이고, 딸의 취업까지! 모든 것이 그녀의 계획대로 완벽하게 진행될 줄 알았다. 그런데 완벽했던 스텝이 꼬여버리기 시작한다! 도둑맞은 승진, 연락 두절된 딸, 그리고 텅 빈 마음... 엉망진창이 된 인생 박자를 수습하기 위해 찾아간 곳은 플라멩코 연습실? 완벽하지 않아도 괜찮은, 인생 리듬 되찾기 프로젝트!"
메소드연기,"드라마, 코미디",이기혁,"이동휘, 윤경호, 강찬희, 김금순, 윤병희, 공민정, 오아연, 허재훈",20260318,https://image.tmdb.org/t/p/w500/qbZitRjnObttv0rgI3I4HMpjWgN.jpg,"코미디 알계인으로 뜨고 알계인으로 기억되는 배우 이동휘. 더 이상 웃기는 연기가 하기 싫은 그는 모든 활동을 중단한 채 연기 변신의 기회만을 기다린다. 오랜 공백 끝, 톱스타 정태민의 차기작 사극 경화수월에 임금 역으로 캐스팅된 이동휘는 메소드 연기를 보여주겠다는 각오를 다지며 공개 금식까지 단행한다. 하지만 첫 촬영부터 NG 연발, 바지 속에 숨겨둔 삼각김밥이 들통나는 굴욕이 이어지고 설상가상 매니저 대신 따라온 형 이동태의 현장 난입과 정태민과의 기싸움 그리고 무리한 대본 수정까지 겹치며 촬영 현장은 점점 통제 불능 상태로 치닫는데…"
신의악단,드라마,김형협,"박시후, 정진운, 태항호, 장지건, 한정완, 고혜진, 문경민, 최선자, 남태훈, 신한결, 서동원, 강승완, 이한서, 윤제문, 기주봉, 하민, 이정훈",20251231,https://image.tmdb.org/t/p/w500/uzMwEHO2s4aWutOEtYXld51qskT.jpg,"대북제재로 돈줄이 막힌 북한. 국제사회의 2억 달러 지원을 얻기 위한 마지막 방법은 단 하나! 보위부는 당의 명령을 받고, 북한 최초의 가짜 찬양단을 만드는 임무를 맡는다."
넘버원,드라마,김태용,"최우식, 장혜진, 공승연",20260211,https://image.tmdb.org/t/p/w500/qg0MKxZtg5CROXqfXBGVZmaxGbK.jpg,엄마가 해준 밥을 먹을 때마다 눈앞에 알 수 없는 숫자가 보이기 시작한 하민. 숫자는 엄마의 음식을 먹을수록 하나씩 줄어들고 그 숫자가 0이 되면 엄마 은실이 죽는다는 사실을 알게 된 후 하민의 평범했던 일상이 한순간에 뒤집힌다. 엄마를 지키기 위해 하민은 온갖 핑계를 대며 집밥을 피하기 시작하는데…
폭풍의 언덕,"드라마, 멜로/로맨스",에머랄드 펜넬,"마고 로비, 제이콥 엘로디",20260211,https://image.tmdb.org/t/p/w500/oDXVQRHTomnm9N569Pu2d38IubP.jpg,"자유를 꿈꾸는 캐서린과 상처 입은 영혼 히스클리프, 서로에게 완전히 빠져든 두 사람의 치명적인 사랑을 담은 이야기"
"2024.12.03 그날 조작된 내란, 감춰진 진실",다큐멘터리,,,20260204,https://image.tmdb.org/t/p/w500/2cLTatUsCDZsRpHsgELbdFaZJyD.jpg,"12.3 비상계엄은 실패한 쿠데타였는가, 아니면 치밀하게 설계된 덫이었는가? 입법 독재와 사법의 정치화가 만들어낸 '합법적 탄핵'의 이면을 추적하고, 치밀하게 설계된 '민주당의 정권탈취 거대 시니리오의 정체'와 두 대통령(박근혜, 윤석열)을 감옥으로 보낸 평행이론의 실체를 파헤친다."
만약에 우리,멜로/로맨스,김도영,"구교환, 문가영, 신정근, 이상엽, 임재혁, 김소율, 김서원, 최규선, 서수찬, 백승우",20251231,https://image.tmdb.org/t/p/w500/3ajXIRwoTGvnlLWVPgZPrHgXIW.jpg,"고향 가는 고속버스에 올라탄 은호와 휴학 후 어디론가 떠날 결심을 한 정원, 나란히 앉게 된 두 사람은 뜻밖의 인연을 맺는다. 서로의 꿈을 응원하며 의지하던 두 사람은 어느새 일상 깊숙이 스며들어 연인으로 발전한다. 웃고, 싸우고, 화해하며 세상을 다 가진 듯 뜨겁게 사랑하지만, 현실의 벽 앞에 두 사람은 결국 다른 길을 선택하게 된다. 그렇게 10년이 지난 후, 다시 마주한 순간 은호는 정원에게 오랫동안 묻어두었던 한마디를 꺼낸다."
아이엠스타!X프리파라 더 무비 -만남의 기적!-,애니메이션,오오카와 타카히로,"정유정, 김현지",20260204,https://image.tmdb.org/t/p/w500/p4ReupT0wU8Ju2ZYWUmdU0MrXp.jpg,"10년 치의 사랑과 10년 치의 감사한 마음을 가득 담은 꿈의 프로젝트가 시작된다! 이 마음은 어른이 되어서도 사라지지 않을 소중한 보물이 될 거야! 하늘과 라라 각자의 세계에서 활동하던 두 아이돌이, 어느 날 갑자기 같은 무대 위에 서게 되고, 전혀 다른 <아이엠스타!>와 <프리파라> 두 세계가 교차하며 기적 같은 만남이 찾아온다!"
